/dmarker/@word	dmarker/@id	dmarker/orths/orth1/@orth1type	dmarker/orths/orth1/part1/@orth1typep1	dmarker/orths/orth1/orth1part1	dmarker/orths/orth1/part2/@orth1typep2	dmarker/orths/orth1/orth1part2	dmarker/syn/type	dmarker/syn/cat	dmarker/syn/context/mood	dmarker/syn/context/tense	dmarker/syn/modifier1	dmarker/syn/modifier2	dmarker/sem/relationl1	dmarker/sem/relationl2	dmarker/sem/relationl3	dmarker/synonym/@lexicon	dmarker/synonym/@entryid	dmarker/synonym	dmarker/examples/example1/@ex1source	dmarker/examples/example1	dmarker/examples/example2/@ex2source	dmarker/examples/example2	dmarker/examples/@ex3source	dmarker/examples/example3	dmarker/comment
de modo a 	dm75	cont	phrasal	de modo a 			primary connective	prep					contingency	cause	result	dimlex-en	22	so that	CRPC	Dentro do programa estabelecido , a primeira utilização do Centro Cultural de Belém deverá ocorrer já em 1992 , quando Portugal assumir a presidência das Comunidades Europeias , pelo que a primeira fase do projecto , o centro de reuniões , deverá ficar concluída no terceiro trimestre de 1991 , de modo a possibilitar a instalação dos serviços destinados a tal função . 					
de modo a que	dm76	cont	phrasal	de modo a que			primary connective	csu					contingency	purpose	arg2-as-goal	dimlex-en	22	so that 	CRPC	Vamos agora celebrar um acordo , que visa a formação de uma empresa gestora do novo espaço , juntamente com os proprietários dos terrenos e a Associação Comercial e Industrial de Paredes , de modo a que possamos controlar o loteamento dos terrenos e a sua venda aos interessados assim como o seu valor . 					
de modo que 	dm77	cont	phrasal	de modo que 			primary connective	csu					contingency	cause	result	dimlex-en	13	so 	CRPC	Claro que a realidade é diferente , como bem se viu neste Campeonato da Europa , mas a sensação que predomina ainda é esta . De modo que o ex-artilheiro do Porto acabou por alcançar apenas um dos seus objectivos : o económico . 					
de onde 	dm78	cont	phrasal	de onde 			primary connective	adv					contingency	cause	result	dimlex-en	89	hence 	CRPC	"O investigador do Instituto de Ciências Sociais , em Lisboa , lembra que ""o desemprego está a aumentar fortemente em Portugal e vai continuar a aumentar"" , estando ""mais do que demonstrado que são as grandes empresas que estão a destruir postos de trabalho e as pequenas e médias que estão a criar mais emprego"" . De onde , concluiu , ""todas as iniciativas que tenham a ver com bolsas de emprego e desenvolvimento das pequenas e médias empresas são benvindas"" ."					
de qualquer forma	dm79	cont	phrasal	de qualquer forma			primary connective	adv					comparison	contrast		dimlex-en	71	regardless	CRPC	O oportunismo e o carreirismo são promovidos a virtudes , enquanto a coragem e a frontalidade são tratadas como pecados . De qualquer forma , acho que o Orçamento foi bem conduzido .  					
de sorte que	dm80	cont	phrasal	de sorte que				csu					expansion	cause	result	dimlex-en	22	so that	CRPC	Todavia , estas comparticipações só são concedidas a obras de baixa tensão , e não às de alta ; mas o custo dos ramais de alta tensão atinge cifras muito elevadas , da ordem de 40 a 80 contos por cada quilómetro , de sorte que um ramal de 10 km destinado a abastecer uma aldeia custará cerca de 400 a 800 contos - despesa economicamente irrecuperável . 					
de tal forma que	dm81	cont	phrasal	de tal forma que			primary connective	csu					contingency	cause	result	dimlex-en	22	so that 	CRPC	O desaparecimento da memória dos Kusanas devese provavelmente à ausência de documentos , bem como às muitas invasões dos povos das estepes da Ásia central , de tal forma que apenas o seu nome se mantém nalgumas fontes chinesas , indianas e arménias , sendo esquecido a ocidente . 					
de tal maneira que	dm82	cont	phrasal	de tal maneira que				csu					contingency	cause	result	dimlex-en	40	as a result	CRPC	"E a ânsia da população local por poder usufruir do empreendimento era tanta que "" as pessoas vinham para aqui de noite "" . "" De tal maneira que tivemos de retirar a pista de skate , um dos primeiros equipamentos que chegou ao parque "" , disse , por seu lado , um vereador da equipa de Melo ."					
depois	dm83	cont	single	depois			primary connective	adv					expansion	conjunction		dimlex-en	50	besides	CRPC	Os entendidos da noite não perdem um , e quantos mais houver melhor . Restantes , bares , discotecas ...  Novidades não faltam . Depois , há aqueles locais de sempre , que agradam em qualquer altura . 					
depois	dm84	cont	single	depois			primary connective	adv					temporal	asynchronous	precedence	dimlex-en	47	afterwards	CRPC	"Durante dois anos dos 30 aos 32 , esteve em Copenhague trabalhando em desenho técnico . Depois , foi para Paris , outros dois anos , "" os melhores anos da minha vida "" . "					
depois de	dm85	cont	phrasal	depois de			primary connective	prep		inflected infinitive			temporal	asynchronous	succession	dimlex-en	19	after 	CRPC	Depois de ter pago quinhentos dolares , Sinatra foi libertado sob fiança . 					
depois que	dm86	cont	phrasal	depois que			primary connective	csu					temporal	asynchronous	succession	dimlex-en	19	after	CRPC	""" Depois que crescemos , ficamos interessados fisicamente um pelo outro e tivemos um namoro "" , contou ao "" Washington Times "" ."					
desde o momento que	dm87	cont	phrasal	desde o momento que			primary connective	csu					temporal	asynchronous	succession			from the moment when	CRPC	Desde o momento que o recém-nascido abandona o útero , se não mesmo antes , admitem as autoras do estudo , tem praticamente as mesmas emoções dos adultos e comunica activamente com eles .					
desde que 	dm88	cont	phrasal	desde que 			primary connective	csu					temporal	asynchronous	succession	dimlex-en	34	since 	CRPC	Desde que tudo acabara contigo , nunca mais me sentiria triste . 					
desde que 	dm89	cont	phrasal	desde que 			primary connective	csu	subjunctive				contingency	condition	arg2-as-condition	dimlex-en	16	as long as	CRPC	Normalmente , nos países para onde vão , têm um responsável nacional desse país , a quem dão inteira liberdade de acção , desde que cumpra o plano estratégico previamente definido . 					
desta maneira	dm90	cont	phrasal	desta maneira			secondary connective	adv					contingency	cause	result	dimlex-en	62	thereby	CRPC	Para sobreviverem , os seres humanos têm de consumir alimentos , que constituem uma forma ordenada de energia , e convertê -los em calor , que é uma forma desordenada de energia . Desta maneira , a vida inteligente não poderia existir na fase de contracção do Universo . 					Cause+Belief por ser inferência?
devido a 	dm91	cont	phrasal	devido a 			primary connective	prep					contingency	cause	reason			due to	CRPC	E , no entanto , o ciclo das fases da Lua demonstrava que esta , tal como a Terra , não produzia qualquer luz e apenas brilhava devido a reflectir a luz solar . 					
devido ao facto de 	dm92	cont	phrasal	devido ao facto de 			secondary connective	prep					contingency	cause	reason			due to the fact that	CRPC	A distribuição do efectivo humano nas áreas rurais é heterogénea e sempre localizada às margens dos rios , devido ao facto de a rede fluvial ser verdadeiramente a única via de penetração . 					
diga-se de passagem que	dm93	cont	phrasal	diga-se de passagem que			altlex	csu					expansion	specification	arg2-as-detail			by the way	CRPC	Este Instituto tem vindo a dar provas disso e a condução , pela qual é responsável , de estudos académicos e de actividades culturais numa perspectiva europeia , é disso uma promissora indicação . Diga -se de passagem que , mesmo antes de Portugal aderir , já eram visíveis alguns sinais de integração . 					
dito isso	dm94	cont	phrasal	dito isso			altlex	adv					comparison	contrast				this being said	CRPC	Seria bom que tivesse tido a mesma pressa na solução destes problemas essenciais . Dito isto , quero reafirmar que o PS não recusa o debate sobre o que dever ser o papel do Estado na economia moderna . 					
do mesmo modo	dm95	cont	phrasal	do mesmo modo			secondary connective	adv					comparison	similarity		dimlex-en	69	likewise	CRPC	A Brigada portuguesa que vai participar na Força de Reacção Rápida da Aliança é integrada numa Divisão aerotransportada italiana . Do mesmo modo , é a Itália que lidera o processo de paz para Moçambique , no qual Portugal vai participar no âmbito da ONU .					
do mesmo modo que	dm96	cont	phrasal	do mesmo modo que				csu					comparison	similarity		dimlex-en	69	likewise	CRPC	Do mesmo modo que o consumo de álcool não faz obrigatoriamente de nós criminosos , também não são as drogas ilícitas que fazem dos seus consumidores delinquentes , mas sim a necessidade angustiante de as obterem a qualquer preço .					
e	dm97	cont	single	e			primary connective	cco					expansion	conjunction		dimlex-en	88	and 	CRPC	São compostos muito solúveis e podem ser levados pela água desde longa distância . 					
e	dm98	cont	single	e			primary connective	cco					contingency	cause	result	dimlex-en	88	and 	CRPC	O ritmo de actividade profissional dominá-lo(a)-á e você poderá ter dificuldades em se descomprometer . 					
e	dm99	cont	single	e			primary connective	cco					temporal	asynchronous	precedence	dimlex-en	88	and 	CRPC	Um milhano abriu as asas e plainou lá no alto .					
é certo que … mas 	dm100	cont	phrasal	é certo que	phrasal	mas	secondary connective	unknown					comparison	concession	arg2-as-denier			it´s true that… but	CRPC	É certo que é necessário , direi mesmo urgente , o desenvolvimento industrial , mas não é menos urgente encarar com decisão e coragem os problemas que a falta de mão-de-obra poderá provocar na agricultura , uma vez que a sua mecanização , em algumas regiões impraticável , obriga ao emprego de grandes capitais que , certamente , neste momento de crise a pequena e média lavouras não poderão suportar .					
e isso quando 	dm101	cont	phrasal	e isso quando 			altlex	unknown					comparison	concession	arg2-as-denier				CRPC	Efectivamente , verificámos por força do artigo 4 , que , por sua vez , se reporta à alínea b ) do artigo 3 , que determinadas iniciativas que ultrapassam os limites , geográficos dos municípios ficarão na exclusiva competência do poder central , dos departamentos centrais ou periféricos competentes . E isso quando já se tinha estabelecido nalguns casos , por regra consensual , que , em casos de retardo nas decisões , por parte da administração central , na construção de certos equipamentos que interessam vivamente às populações locais , os municípios , tomando nas suas mãos a iniciativa , se poderão substituir ao Governo na construção dessas formas de equipamento .					
é que 	dm102	cont	phrasal	é que 			altlex	unknown					contingency	cause	reason			actually	CRPC	Pelo que , até por essa razão , este retábulo é singular : na sábia inserção e no respeito por uma arquitectura que o não merece , absolutamente insípida . É que muitas vezes o dinheiro faltava , mesmo para levantar edifícios religiosos .					
eis senão quando	dm103	cont	phrasal	eis senão quando			secondary connective	adv					temporal	asynchronous	succession			that's when	CRPC	Livro após livro , artigo após artigo , opúsculo após opúsculo , garantiram -me que as irupções do sagrado na terra seguiam um padrão comum , envolvendo meninos rurais , grutas e covas . Eis senão quando me deparo com um planalto .					
em alternativa	dm104	cont	phrasal	em alternativa			primary connective	adv					expansion	substitution	arg2-as-subst	dimlex-en	26	instead	CRPC	Cruzar a fronteira por terra nem sempre era possível . Em alternativa , os fugitivos transpunham um dos rios fronteiriços , o Caia ou o Guadiana . 					
em consequência de	dm105	cont	phrasal	em consequência de			primary connective	prep					contingency	cause	reason			as a result of	CRPC	um agente da polícia foi morto e outro ficou gravemente ferido na cidade de Chimoio , no centro de Moçambique , em consequência de terem sido atropelados por um automobilista					
em contrapartida	dm106	cont	phrasal	em contrapartida			primary connective	adv					comparison	contrast		dimlex-en	58	in contrast	CRPC	Neste almoço não se falou de Platão . Em contrapartida , foram mais pormenorizadas as referências ao passado , feitas em clima de informalidade e recheadas de compreensão .					
em lugar de 	dm107	cont	phrasal	em lugar de 			primary connective	prep					comparison	contrast				instead of	CRPC	Em lugar de tomar medidas que respondam de imediato a estas exigências , o Governo faz importações desnecessárias .					
em particular	dm108	cont	phrasal	em particular			primary connective	adv					expansion	specification	arg2 as detail	dimlex-en	45	in particular	CRPC	"Os debates internacionais em torno do "" regresso ao religioso "" e à manifestação das várias espiritualidades humanas inspiram o tema de fundo do número de Maio , que consagra nomeadamente um "" dossier "" às relações entre BD e judaísmo . Em particular , merece referência um artigo de Didier Pasamonik ( está previsto para o próximo Outono um livro deste estudioso sobre a "" Diáspora dos quadradinhos "" ) em torno da representação dos judeus na banda desenhada ocidental , de Superman a Maus , de Sfar a Gotlib e Ben Katchor , Vittorio Giardino ou Will Eisner ."					
em primeiro lugar	dm109	cont	phrasal	em primeiro lugar			secondary connective	adv					expansion	instantiation				first of all	CRPC	Este método decorre de opções teóricas plenas de consequências . Em primeiro lugar , rompe com a linha única da visão modernista da história , em que o novo substituía o velho , segundo a cadência implacável do voluntarismo vanguardista .					
em resultado de	dm110	cont	phrasal	em resultado de			primary connective	prep					contingency	cause	reason			as a result of	CRPC	Ao mesmo tempo , no Vietname , corriam rumores de que todos os que chegassem a Hong Kong a partir de certas datas , sucessivamente prorrogadas por esses mesmos rumores , deixariam de ser aceites como refugiados . Em resultado de tais boatos , a população dos campos aumentou drasticamente , tendo chegado no intervalo de um ano cerca de 40 mil pessoas .					
em resumo	dm111	cont	phrasal	em resumo			primary connective	adv					expansion	specification	arg1-as-detail	dimlex-en	77	in short	CRPC	Trata -se de um valor que equivale a um ponto percentual acima da média verificada entre 1970 e 1996 . Em resumo , se tudo correr conforme as projecções , o actual ciclo de expansão vai prolongar -se pelo menos durante nove anos , mais três do que na anterior fase de crescimento .					
em síntese	dm112	cont	phrasal	em síntese			primary connective	adv					expansion	specification	arg1-as-detail	dimlex-en	95	in sum	CRPC	O suporte físico mantém -se apenas como medida de segurança . Em síntese , esta remodelação dos métodos tradicionais de gestão e administração da justiça destina -se a colocar os vários serviços do ministério ligados em rede , de modo a aproveitar da melhor maneira os recursos humanos existentes .					
em suma	dm113	cont	phrasal	em suma			primary connective	adv					expansion	specification	arg1-as-detail	dimlex-en	95	in sum	CRPC	"Como se o "" hiperterrorismo "" não fosse outra coisa , muito diferente do terrorismo clássico nem exigisse medidas de outra amplitude e de outra natureza . Em suma , a Europa continua a não ser capaz de fazer mais do que olhar para o terrorismo com os olhos do passado ( encarando -o essencialmente como um fenómeno de natureza circunscrita e incluindo -o na categoria de crime organizado ) e com os instrumentos do passado ."					
em todo o caso	dm114	cont	phrasal	em todo o caso			primary connective	adv					comparison	concession	arg2-as-denier	dimlex-en	21	still	CRPC	"Pedro Bacelar revelou , entretanto , que o Governo socialista decidiu não manter o lugar de vice-governador civil de Braga , excepcionalmente criado pelo anterior Governo do PSD . Em todo o caso , adiantou que não está , de todo , excluída a hipótese de esse cargo vir a ser de novo criado , embora isso dependa sempre de uma avaliação , "" à posteriori "" , da necessidade , ou não , de um "" número dois "" para o Palácio dos Falcões ."					
em última análise 	dm115	cont	phrasal	em última análise 			primary connective	adv					expansion	conjunction		dimlex-en	39	ultimately 	CRPC	Nenhuma representação poderá conter mais informação acerca do objecto do que aquela que o próprio objecto contém . Em última análise , o grau de perfeição de um modelo só dependerá da quantidade de dinheiro . 					
em vez de	dm116	cont	phrasal	em vez de			primary connective	prep					comparison	substitution	arg1-as-subst			instead of	CRPC	O município e as populações terão que sentir contrapartidas significativas por ter a unidade dentro dos limites . Em vez de se impor ao município A ou B a localização da unidade deve , pelo contrário , perguntar -se aos municípios quais deles estão interessados em ter o tratamento .					
em vez disto	dm117	cont	phrasal	em vez disto			secondary connective	adv					comparison	substitution	arg2-as-subst			instead of this	CRPC	Resta unir vontades , estabelecer metodologias e impor a sua execução . Em vez disto , assiste -se , nos últimos anos , a destruições sem precedentes : guerras , massacres , catástrofes naturais , epidemias .					
em virtude de 	dm118	cont	phrasal	em virtude de 			primary connective	prep					contingency	cause	reason			due to	CRPC	O magistrado declarou que continuaria a ser « um director-geral sem medo » e a tornar públicas todas as situações ilegais , apesar das ameaças de bomba e cartas anónimas recebidas , mas agora não pode agora cumprir o prometido . Em virtude de ter concorrido com êxito ao lugar do TC .					
embora	dm119	cont	single	embora			primary connective	csu	subjunctive		muito embora		comparison	concession	arg1-as-denier	dimlex-en	2	though	CRPC	Espero que exista consenso e unidade entre os partidos . Embora haja temas importantes em termos partidários para discutir , este ainda não é o momento .					
enfim	dm120	cont	single	enfim			primary connective	adv					expansion	specification	arg1-as-detail	dimlex-en	36	in fact	CRPC	"Não nos esqueçamos que novas fábricas é sinónimo de fixação de mais pessoas , mais dinheiro e , por natureza , procura de mais habitação , mais escolas , mais bens de primeira necessidad Enfim , é o princípio do desenvolvimento e do progresso que pretendemos "" ."					
enquanto	dm121	cont	single	enquanto			primary connective	csu					comparison	contrast		dimlex-en	15	while	CRPC	""" este governo está a querer pegar o touro pelos cornos enquanto o outro promoveu uma paz podre "" ."					
enquanto	dm122	cont	single	enquanto			primary connective	csu					temporal	synchronous		dimlex-en	15	while	CRPC	"Enquanto o tabu se mantiver , os ministros não se lançam em grandes aventuras , limitando -se à gestão dos negócios correntes , e a retoma atrasa "" ."					
enquanto que	dm123	cont	phrasal	enquanto que			primary connective	csu					comparison	contrast		dimlex-en	15	while	CRPC	"Ora , em ambos os casos , as actividades de origem ( não "" media "" , portanto ) são as que atingem os melhores níveis de rentabilidade . Enquanto que as empresas de "" media "" que foram entrando nos perímetros dos dois grupos são muitas vezes altamente deficitárias ."					
então	dm124	cont	single	então			primary connective	adv					contingency	cause	result	dimlex-en	14	then 	CRPC	O objectivo de Monteiro e seus pares visa , igualmente , inviabilizar aquela que seria uma crise interna sem precedentes : é que caso , o Conselho Nacional viesse a aprovar o acordo no Porto , não faltariam concelhias e distritais por esse País fora a pedir o mesmo . Então , sim , o processo seria irreversível e o seu líder sairia , aos olhos da opinião pública , fragilizado .					
então	dm125	cont	single	então			primary connective	adv					temporal	asynchronous	precedence	dimlex-en	14	then 	CRPC	Nesse momento , desejou poder lançar -se nos braços do sócio , e foi com uma emoção sincera , um soluço na garganta , que respondeu : Infelizmente , infelizmente ... Então Godofredo fez -lhe sinal que se sentasse , e com a cabeça baixa , Machado foi pousar -se à borda do sofá de repes verde .					
entretanto	dm126	cont	single	entretanto			primary connective	adv					comparison	contrast		dimlex-en	32	meanwhile	CRPC	"Quando fundei o atelier em 1949 , e durante 23 anos , estava empregado na Federação das Caixas de Previdência em "" full time "" e chegava aqui ao fim da tarde , por volta das seis . Entretanto , os colaboradores tinham cá estado a trabalhar o dia todo ."					
finalmente	dm127	cont	single	finalmente			primary connective	adv					expansion	conjunction		dimlex-en	59	finally	CRPC	Aos 100 metros de profundidade , notei que os corais eram mais altos , formando como que florestas petrificadas . Finalmente , ao cabo de duas horas de marcha , atingimos os 300 metros de profundidade , isto é , o limite máximo em que os corais começam a formar-se .					
igualmente	dm128	cont	single	igualmente			primary connective	adv					expansion	conjunction		dimlex-en	69	likewise	CRPC	É obrigatória a utilização da língua portuguesa em todas as informações sobre a natureza , características e garantias de bens e serviços oferecidos ao público no mercado nacional , assim como nos rótulos das embalagens , prospectos , catálogos , livros de instruções , etc . É igualmente obrigatório que sejam escritas em português as informações ou instruções respeitantes a características , instalação , serviço ou utilização , montagem , manutenção , armazenagem , transporte , bem como as garantias relativas a máquinas , aparelhos , utensílios e ferramentas .   					
inversamente	dm129	cont	single	inversamente			primary connective	adv					comparison	contrast		dimlex-en	92	inversely	CRPC	O facto de Portugal estar a deixar progressivamente a alimentação mediterrânica para ingerir mais gorduras animais e de assistir a um aumento da esperança de vida da população - dois terços do cancro da mama aparecem depois da menopausa - justificam , para o especialista , a tendência para a subida em Portugal . Inversamente , o cancro do colo do útero está no nosso país a diminuir .					
isto é	dm130	cont	phrasal	isto é			primary connective	adv					expansion	specification	arg2 as detail	dimlex-en	74	in other words	CRPC	Voltando à apresentação de The Big Brother , o mais interessante daquilo que nos foi dito tem a ver com uma circunstância : as dez pessoas seleccionadas para este projecto deverão ser todas jovens e distribuídas de um modo premeditadamente simétrico . Isto é , teremos cinco rapazes e cinco raparigas , o que significa que Deus fez as almas aos pares .					
isto equivale a	dm131	cont	phrasal	isto equivale a			altlex	unknown	infinitive				expansion	equivalence					TedTalk1927	Permitem uma economia em custos operacionais na ordem de 23 milhões de dólares anuais e evitam emissões de 100 mil toneladas métricas de carbono . Isto equivale a retirar de_ as ruas 21 mil carros .					
já	dm132	cont	single	já			primary connective	adv					comparison	contrast		dimlex-en	26	instead	CRPC	"Reduzir a regulação e fomentar a investigação e desenvolvimento são duas sugestões que faz , ou seja , implementar a lista de boas intenções contida na "" Agenda de Lisboa "" . Já para o presidente da Confederação Alemã das Indústria ( BDI ) , Michael Rogowski , a política ambiental da coligação SPD-Verdes contribui em grande medida para o acréscimo da deslocalização de empresas germânicas para o estrangeiro ."					
já agora	dm133	cont	phrasal	já agora			primary connective	adv					expansion	conjunction				by the way	CRPC	Não foi necessária , embora fosse aventada , a hipótese de um referendo ... ( Já agora , não seria a altura de legislar no sentido de os polícias poderem sindicalizar -se ?					
já que 	dm134	cont	phrasal	já que 			primary connective	csu					contingency	cause	reason	dimlex-en	28	as	CRPC	E afirma que não se pronuncia sobre o facto de o Governo ir avançar com a revisão da lei do arrendamento , já que o executivo não apresentou o diploma , nem marcou qualquer debate para o discutir durante o mês de Setembro .					
logo 	dm135	cont	single	logo			primary connective	adv					contingency	cause	result	dimlex-en	40	as a result	CRPC	"Mas não bastou o crédito aliciantemente "" interessante "" , sob o ponto de vista das respectivas garantias . Logo apareceram os depósitos bem remunerados ."					
logo que	dm136	cont	phrasal	logo que			primary connective	csu					temporal	asynchronous	succession	dimlex-en	75	as soon as	CRPC	""" Logo que venci o primeiro ponto , senti -me muito bem ."					
mais	dm137	cont	single	mais			primary connective	adv					expansion	conjunction		dimlex-en	24	moreover	CRPC	Não podemos dizer em quantos planetas semelhantes à Terra pode ter -se desenvolvido a vida . Mais , não podemos sequer saber se o tipo de vida que nós conhecemos é uma forma comum ou rara no Universo . 					
mais exatamente	dm138	cont	phrasal	mais exatamente			primary connective	adv					expansion	specification	arg2-as-detail	dimlex-en	82	specifically	CRPC	Kitaj , David Hockney , Peter Blake e outros pintores que contam histórias , sugerem situações ou descrevem relações humanas . Mais exactamente , Paula Rego encontrou no meio britânico , menos dependente das concepções vanguardistas da modernidade e também da circulação das modas , as condições favoráveis para aprofundar um trabalho com raízes portugueses , que mergulham nas suas memórias pessoais , decorrem dos incidentes da sua vida e interpelam as prisões mais fundas da nossa existência colectiva .					
mas	dm139	cont	single	mas			primary connective	cco					comparison	concession	arg2-as-denier	dimlex-en	3	but	CRPC	""" I "" , em parte , é uma contracção de regresso àquilo que os Magnetic Fields eram , e fizeram , antes desse disco . Mas mantendo a variedade de "" 69 Love Songs "" , onde cada canção representa um estilo diferente ."					
mas	dm140	cont	single	mas			primary connective	cco					expansion	conjunction		dimlex-en	3	but	CRPC	O P.e Francisco Rodrigues , grande mestraço e águia do Dogma , sustentava , às vezes , batidas com o velho que valiam uma sabatina em Salamanca . Mas ele era duro de vergar no debate verbal , além de entendimento bem fornecido daquelas razões que , antes de S. Tomás , já Buda tinha achado para explicar certas verdades indemonstráveis .					
mas isto não significa que	dm141	cont	phrasal	mas isto não significa que			altlex	verb					comparison	concession	arg2-as-denier			but that does not mean that	EC	Apenas demonstrar duas coisas : que em Hegel a oposição Estado / sociedade civil correspondia à oposição entre o interesse público e os interesses privados . Mas isto não significa que eu seja de modo algum um opositor à sociedade civil .					
mas não deixa de ser verdade que	dm142	cont	phrasal	mas não deixa de ser verdade que			altlex	verb					comparison	concession	arg2-as-denier	dimlex-en	5	nevertheless	CRPC	É verdade que a vertente orçamental não é tudo numa política . Mas não deixa de ser verdade que é nos orçamentos que se testam as verdadeiras escolhas e as verdadeiras opções . 					
mesmo assim	dm143	cont	phrasal	mesmo assim			primary connective	adv					comparison	concession	arg2-as-denier	dimlex-en	5	nevertheless	CRPC	"Na altura , os protestos multiplicaram -se , tendo o Grupo Mangualdense de Apoio e Protecção aos Animais ( GRUMAPA ) recolhido assinaturas de protesto num abaixo-assinado contra o "" terrível e degradante "" espectáculo , e distribuído panfletos informativos sobre as "" torturas "" infligidas aos animais . Mesmo assim , cerca de duas mil pessoas assistiram à iniciativa , preenchendo cerca de 90 por cento da lotação ."					
mesmo que	dm144	cont	phrasal	mesmo que			primary connective	csu	subjunctive				comparison	concession	arg2-as-denier	dimlex-en	1	although	CRPC	Mesmo que os versos possam ser bastante de reflexão , o refrão tenta tirar do buraco .					
motivo por que 	dm145	cont	phrasal	motivo por que 			altlex	noun					contingency	cause	result	dimlex-en	89	hence 	CRPC	A Polícia tinha afirmado que , face ao estado a que as casas ficaram reduzidas , seria bastante improvável que se encontrassem sobreviventes , motivo por que a salvação de Diver foi considerada um verdadeiro milagre .					
na medida em que 	dm146	cont	phrasal	na medida em que 			secondary connective	csu					contingency	cause	reason	dimlex-en	4	because	CRPC	Infelizmente , por razões bastante alheias à nossa vontade , não temos conseguido materializar como desejamos a política de desenvolvimento rural e de melhores condições de vida para os camponeses . Na medida em que , como se sabe , a guerra atingiu principalmente as zonas do território angolano onde o campo tem o seu « habitat » próprio .					
na realidade	dm147	cont	phrasal	na realidade			primary connective	adv					expansion	conjunction		dimlex-en	36	in fact	CRPC	Eu chamo -lhe Charlie Chan , por influência das minhas leituras policiais . Na realidade , ele chama -se oficialmente Agostinho do Rosário e , obviamente , não percebe uma única palavra de português . 					
na realidade	dm148	cont	phrasal	na realidade			primary connective	adv					expansion	specification	arg2 as detail	dimlex-en	36	in fact	CRPC	Consagrando -se o principio da causalidade adequada , faz -se um apelo a ideia da probabilidade do dano . Na realidade , destrinça -se entre os danos que sejam consequencia do facto lesivo e os que se teriam produzido independentemente da sua verificação - artigos 562 e 563.Isto e , os danos são aqueles que o lesado provavelmente não teria sofrido se não fosse a lesão do seu direito ou o interesse protegido .					
não deixa de ser verdade que... mas	dm149	disccont	phrasal	não deixa de ser verdade que	single	mas	altlex	verb					comparison	concession	arg2-as-denier			it's true that ... but	CRPC	""" Os checos foram mais humildes "" , tinha dito Fernando Couto no fim do jogo . Não deixa de ser verdade que os portugueses deram tudo , mas cada qual para seu lado , não houve organização quando ela era precisa ."					
não obstante	dm150	cont	phrasal	não obstante			primary connective	prep		inflected infinitive			comparison	contrast		dimlex-en	5	nevertheless	CRPC	E é enriquecedor , já que alarga o universo de conhecimentos do leitor , que vai recebendo , além da expressão de inteligência do autor , uma visão documentada dos sub-solos do poder , das suas arrogâncias e dos seus crimes , que a tudo isto se chega quando se pressente um perigo de « subversão » . Não obstante , não se trata de um romance « ideológico » ( entendam -se , por favor , as aspas ) , e de panfletário nada tem .					
não... mas sim	dm151	discont	phrasal	não	single	mas sim	primary connective	cco					expansion	substitution	arg2-as-subst			not… but	CRPC	Não pode eliminar -se o apocalipse - mas sim interrompê -lo , desviá -lo , lê -lo de outro modo Jacques Derrida DE UM Tom Apocalíptico Adoptado há Pouco em Filosofia é o texto de uma comunicação apresentada por Derrida a encerrar o colóquio « Les fins de l ' homme » .					
nem por isso	dm152	cont	phrasal	nem por isso			secondary connective	unknown					comparison	contrast		dimlex-en	30	nonetheless	CRPC	E o rei reconheceu tratar -se de um fantasma , porque , recuando , ela atravessara o tronco da magnólia que passava através dela como de fumo . Nem por isso deixava de a ver como se tivera corpo material .					
nessa altura	dm153	cont	phrasal	nessa altura			secondary connective	adv					temporal	synchronous		dimlex-en	14	then 	CRPC	"O primeiro-ministro referiu ainda o facto de a máquina "" Maria Lisboa "" ( a "" autora "" da ligação Cais do Sodré / Chiado / Rossio ) ir iniciar agora os trabalhos de ligação da rede do Metropolitano à Praça do Comércio e a Santa Apolónia . Nessa altura "" teremos de facto uma verdadeira revolução dos _ meios de transporte em Lisboa "" , considerou Cavaco Silva que , depois de insistemente questionado sobre a participação da Câmara de Lisboa nestas obras , referiu que o contributo da autarquia foi "" bastante boa vontade para _ apoiar "" ."					
nessa altura	dm154	cont	phrasal	nessa altura			secondary connective	adv					expansion	conjunction		dimlex-en	14	then 	CRPC	Depois , as lojas passaram a ter de fechar aos sábados à tarde . Nessa altura , os próprios empresários viram que já não era rentável estar abertos só de manhã .					
nessa altura	dm155	cont	phrasal	nessa altura			secondary connective	adv					temporal	synchronous		dimlex-en	90	by then	CRPC	A primeira versão do argumento , ainda muito embrionária , foi escrita por mim sozinho em Los Angeles , com uma pequena bolsa da Universidade de Santa Bárbara . Nessa altura , eu ainda nem conhecia o Tino Navarro .					
nesse caso 	dm156	cont	phrasal	nesse caso 			secondary connective	adv					contingency	cause	result	dimlex-en	91	accordingly 	CRPC	Temos também - o mesmo quarto para os meninos , ( lado saguão ) é o nosso antigo quarto com a saleta contígua . Nesse caso ficávamos bastante separados dos meninos .					
nesta conformidade 	dm157	cont	phrasal	nesta conformidade 			secondary connective	adv					contingency	cause	result	dimlex-en	91	accordingly 	CRPC	Deixemos isso à lei , porque há aqui muitas diferenciações a fazer . Nesta conformidade , vamos dar o nosso acordo à proposta do PS para que o artigo baixe , na sua globalidade , à Comissão .					
